grh_name(synthetic),std_degree,std_core,avg_core,nodes,density,max_degree,avg_degree,mxc_std_degree,mxc_nodes,mxc_edges,mxc_density,mxc_max_degree,mxc_avg_degree,R,min_core,degeneracy,upper_bound,edge,sub_edge,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,best_label
scale_free_graph_m_21,35.62746868,4.481167207,11.17620824,100001,0.00022,2064,21.95848,36.31366441,38914,569787,0.000753,1447,29.284422,3,0,15,33,1097924,1094751,13.46,13.23,10.4,12.27,13.14,13.29,14.07,12.04,8
scale_free_graph_m_22,36.56953271,4.760552351,11.81269187,100001,0.000231,2294,23.0529,36.79385605,34571,531453,0.000889,1527,30.745596,3,0,16,35,1152645,1149598,10.31,9.91,11.6,11.64,10.3,9.6,12.06,11.25,6
scale_free_graph_m_23,37.870138,4.971670078,12.31715683,100001,0.00024,1869,24.0183,36.44090698,21710,348197,0.001478,987,32.077107,3,0,17,37,1200915,1198092,11.63,10.05,11.17,11.31,10.78,10.35,11.56,10.17,8
scale_free_graph_m_24,40.18627661,5.078081598,12.71050289,100001,0.00025,2929,25.00754,21.03288219,427,6859,0.075414,212,32.126464,3,0,18,40,1250377,1247617,18.92,18.96,19.78,17.63,18.04,17.96,15.72,16.85,7
scale_free_graph_m_25_2nd_time,42.63727439,5.363944103,13.30567847,200001,0.00013,3407,26.00868,43.2076639,67449,1168793,0.000514,2260,34.657089,3,0,18,40,2600868,2595685,46.72,40.69,47.48,48.22,48.74,45.87,49.7,40.67,8
scale_free_graph_m_26_2nd_time,44.56866511,5.607270503,13.80604097,200001,0.000135,3503,26.9496,43.98060143,45855,824742,0.000784,1985,35.971737,3,0,19,42,2694960,2689822,45.98,45.67,36.62,45.69,46.24,45.91,44.3,44.79,7
scale_free_graph_m_26,41.45403483,5.624368248,13.84783152,100001,0.00027,1865,27.01038,40.40214857,25611,461896,0.001408,1097,36.070126,3,0,19,42,1350519,1347931,19.16,20.21,20.79,20.09,21.62,19.54,21.68,18.2,8
scale_free_graph_m_27_2nd_time,45.58826595,5.71400319,14.20731396,200001,0.00014,2828,28.00259,27.86579782,1232,22578,0.029775,270,36.652597,3,0,20,44,2800259,2795242,65.35,66.23,60.45,63.92,60.52,62.26,62.44,65.5,5
scale_free_graph_m_27,43.51237465,5.732677727,14.1696383,100001,0.000279,2197,27.89694,28.04741338,1327,24564,0.02792,294,37.021854,3,0,20,44,1394847,1392265,26.2,24.29,23.61,22.11,23.92,23.93,24.3,24.41,5
scale_free_graph_m_28_2nd_time,46.8055727,6.002898168,14.80190099,200001,0.000145,3199,28.99089,47.52144532,69217,1337886,0.000559,2170,38.657729,3,0,20,44,2899089,2894363,44.51,47.73,41.23,46.98,52.5,43.69,50.48,47.59,6
scale_free_graph_m_28,45.20002169,5.990244763,14.76595234,100001,0.000289,2210,28.94444,45.25134389,33105,640406,0.001169,1462,38.689382,3,0,20,44,1447222,1444831,45.8,38.51,42.1,44.82,45.42,41.33,45.57,39.97,8
scale_free_graph_m_29_2nd_time,49.08353348,6.209367676,15.28640857,200001,0.00015,3231,29.93348,47.94999196,43125,862181,0.000927,1710,39.985206,3,0,21,46,2993348,2988714,143.51,158.78,160.01,154.04,152.92,151.52,154.78,149.63,8
scale_free_graph_m_29,46.09137597,6.209143,15.30738693,100001,0.000299,2349,29.93868,44.57175683,23850,476980,0.001677,1290,39.998323,3,0,21,46,1496934,1494692,39.63,34.67,36.58,32.18,35.41,34.26,36.57,32.4,8
scale_free_graph_m_30_2nd_time,50.51532857,6.317702753,15.67757661,200001,0.000154,3393,30.89751,19.04445087,236,4383,0.15806,128,37.144068,3,0,22,48,3089751,3085260,156.96,161.45,151.44,142.53,152.6,142.41,154.82,138.03,8
scale_free_graph_m_31_2nd_time,51.81133203,6.601364601,16.28791856,200001,0.00016,3380,31.99233,52.64380681,67752,1447435,0.000631,2272,42.727447,3,0,22,48,3199233,3195038,79.19,71.04,81.01,77.98,71.73,79.56,77.09,76.15,5
scale_free_graph_m_32_2nd_time,53.2041424,6.848809975,16.81595592,200001,0.000165,3483,32.96075,52.62966238,49470,1091138,0.000892,2017,44.113119,3,0,23,51,3296075,3291936,106.25,108.8,105.03,115.61,108.17,114.55,122.2,107.7,8
scale_free_graph_m_33_2nd_time,54.2282503,6.931590176,17.21251394,200001,0.00017,3163,33.96861,35.77727608,2088,47276,0.021698,378,45.283525,3,0,24,53,3396861,3392858,209.51,212.38,208.11,216.73,218.77,222.18,215.97,215.78,8
scale_free_graph_m_34_2nd_time,55.88909495,7.213561373,17.81016595,200001,0.000175,3254,35.01698,56.58992578,68465,1597635,0.000682,2172,46.670123,3,0,24,53,3501698,3497855,460.83,467.76,465.3,467.06,470.49,462.03,457.02,462.78,7
scale_free_graph_m_35_2nd_time,58.19289562,7.463194519,18.35326823,200001,0.00018,3943,36.01189,57.82294555,53009,1274743,0.000907,2318,48.095342,3,0,25,55,3601189,3597415,3608.29,3740.87,3622.16,3504.28,3635.6,3662.32,3537.27,3628.89,7
scale_free_graph_m_36_2nd_time,59.1069428,7.57257224,18.70118149,200001,0.000185,3571,37.02019,39.93838595,2572,63275,0.019138,483,49.202955,3,0,26,57,3702019,3698347,354.24,349.63,351.28,343.45,368.91,339.21,357.62,343.54,6
scale_free_graph_m_36,56.28637233,7.574412031,18.62526375,100001,0.000368,2683,36.80922,56.8471883,37840,930468,0.0013,1887,49.17907,3,0,25,55,1840461,1838488,1788.72,1773.73,1766.29,1733.27,1734.51,1753.37,1779.94,1705.42,8
scale_free_graph_m_37_2nd_time,60.75070094,7.838748919,19.27740361,200001,0.00019,3948,37.9967,61.4366897,67314,1709790,0.000755,2635,50.800428,3,0,26,57,3799670,3796057,551.36,554.05,550.09,564.54,560.4,583.43,565.54,585.08,5
scale_free_graph_m_37,57.24990444,7.85638208,19.26529735,100001,0.000379,2218,37.91656,57.15031009,34123,864117,0.001484,1483,50.647188,3,0,26,57,1895828,1893997,2304.37,2231.86,2130.82,2178.01,2304.26,2140.76,2290.32,2141.59,6
scale_free_graph_m_38_2nd_time,62.03090713,8.074978288,19.77252614,200001,0.000195,3627,38.90922,60.46720661,44850,1166864,0.00116,1952,52.034069,3,0,27,60,3890922,3887320,542.07,589.61,569.88,553.84,545.75,524.56,527.76,579.16,6
scale_free_graph_m_38,58.39639339,8.087154987,19.8397816,100001,0.00039,2619,38.96368,56.89737033,27532,717581,0.001893,1528,52.127052,3,0,27,60,1948184,1946459,153.32,153.13,140.67,150.07,152.72,156.97,153.65,147.96,8
scale_free_graph_m_39_2nd_time,63.71070728,8.165882156,20.1603592,200001,0.000199,3640,39.86543,25.34202426,337,8297,0.146549,164,49.240356,3,0,28,62,3986543,3983128,4890.75,4890.09,4877.23,4889.85,4827.31,4833.82,4721.98,4809.34,7
scale_free_graph_m_39,60.62155406,8.154748942,20.25450745,100001,0.0004,2706,40.02892,36.25789766,1066,27595,0.048613,329,51.772983,3,0,28,62,2001446,1999782,1429.51,1392.49,1367.58,1396.1,1379.12,1378.08,1359.84,1394.48,7
scale_free_graph_m_40_2nd_time,64.35396971,8.432857587,20.80914095,200001,0.000205,3404,41.01695,64.93985826,69097,1889807,0.000792,2297,54.700117,3,0,28,62,4101695,4098463,2636.63,2378.89,2478.06,2391.95,1973.35,1940.04,1947.61,1927.25,8
scale_free_graph_m_40_3_n_280700_3rd_time,66.04852676,8.440017233,20.81088062,280701,0.000146,4272,41.052747,67.20192402,96410,2641297,0.000568,2835,54.793009,3,0,28,62,5761753,5757087,5026.26,5100.21,5092.14,5085.45,5608.31,5214.94,5002.49,5030.73,7
scale_free_graph_m_40_4_n_363858_3rd_time,67.36861234,8.444922211,20.80294565,363859,0.000113,5772,41.01228,68.87936977,124695,3411485,0.000439,3817,54.71727,3,0,28,62,7461323,7455261,17440.89,17251.34,16867.0,16802.06,17479.88,16856.22,17753.49,16921.97,6
scale_free_graph_m_40_5_n_334219_3rd_time,67.83157938,8.442615545,20.78296631,334220,0.000123,4727,40.969125,25.61981655,320,7880,0.154389,167,49.25,3,0,29,64,6846330,6840790,26473.52,26710.57,25871.6,26545.95,25926.4,26086.84,26752.57,26306.99,5
scale_free_graph_m_40,61.95933561,8.474460294,20.78821212,100001,0.000409,2861,40.92906,31.98450004,711,18624,0.073786,284,52.388186,3,0,29,64,2046453,2044815,254.54,246.32,250.85,238.15,265.45,260.34,271.85,226.36,8
scale_free_graph_m_41_2_n_353022_3rd_time,68.70387785,8.726602711,21.32209516,353023,0.000119,4492,41.936712,69.04304653,96569,2709089,0.000581,2739,56.106804,3,0,29,64,7402291,7396351,3190.07,3049.55,3099.94,2924.5,3132.07,3186.34,3253.1,3182.24,5
scale_free_graph_m_41_3_n_419166_3rd_time,69.58851303,8.715575531,21.34353611,419167,0.0001,5770,41.970131,69.9917778,114518,3210990,0.00049,3488,56.078346,3,0,29,64,8796226,8789250,3933.87,4003.94,3876.56,3939.08,3797.18,4088.98,3909.74,3767.25,8
scale_free_graph_m_41_4_n_433039_3rd_time,69.61670368,8.713558505,21.36169869,433040,9.7e-05,5770,42.023679,70.29460894,119572,3357699,0.00047,3531,56.161961,3,0,29,64,9098946,9091905,6816.72,6815.8,6895.78,7023.15,7138.47,6539.19,7191.77,7463.57,6
scale_free_graph_m_41_5_n_468780_3rd_time,70.21059875,8.700579109,21.34744796,468781,9e-05,5271,41.993617,70.66360632,124353,3487633,0.000451,3171,56.092463,3,0,29,64,9842884,9835198,9761.82,10261.45,9512.03,8956.37,9138.45,8196.42,9437.82,8171.88,8
scale_free_graph_m_42_1_n_422475_3rd_time,70.82526621,8.7774199,21.69573656,422476,0.000102,5365,42.995481,73.08063659,160907,4610025,0.000356,3805,57.30049,3,0,29,64,9082258,9075434,11111.85,10581.42,9668.06,10244.74,9473.74,8925.99,9495.8,8626.5,8
scale_free_graph_m_42_2_n_493128_3rd_time,71.62396422,8.760360957,21.71487177,493129,8.7e-05,6017,43.035723,73.97038684,186769,5351494,0.000307,4270,57.30602,3,0,29,64,10611060,10603314,5345.85,5322.14,5386.29,5493.49,5313.59,5441.71,5265.43,5338.41,7
scale_free_graph_m_42_3_n_300906_3rd_time,70.37721459,8.77218378,21.70756081,300907,0.000143,5033,43.025098,72.39209443,113806,3261759,0.000504,3509,57.321389,3,0,29,64,6473255,6468492,39710.86,39902.83,39167.06,38541.24,38129.36,38226.49,37634.9,38730.25,7
scale_free_graph_m_42_4_n_397965_3rd_time,70.58496139,8.784896909,21.70236151,397966,0.000108,4997,43.009601,36.02215043,909,25105,0.060833,294,55.236524,3,0,30,66,8558158,8551825,15080.76,15178.98,14549.03,14547.93,15118.22,14854.75,15187.89,14278.83,8
scale_free_graph_m_42_5_n_462328_3rd_time,71.09534969,8.789190769,21.66859314,462329,9.3e-05,5620,42.934968,73.5283839,174794,5006522,0.000328,3965,57.284827,3,0,29,64,9925019,9917525,2095.68,1915.94,2004.59,2019.46,1986.1,1986.0,2152.35,1910.19,8
scale_free_graph_m_43_1_n_438407_3rd_time,72.8509196,9.073014363,22.33354318,438408,0.000101,5490,44.061974,33.10749818,702,19407,0.078874,255,55.290598,3,0,31,68,9658539,9651782,11713.35,11520.73,11587.92,11755.14,11407.27,11294.84,11942.8,11529.14,6
scale_free_graph_m_43_2_n_428694_3rd_time,73.49084353,9.071657976,22.2859049,428695,0.000103,6375,43.970398,75.48235705,145439,4268044,0.000404,4317,58.691878,3,0,30,66,9424923,9418069,44305.31,43256.79,43280.63,43611.27,44214.77,44384.12,43727.51,44036.9,7
scale_free_graph_m_43_3_n_433925_3rd_time,72.65753611,9.052905652,22.32611321,433926,0.000102,5424,44.048064,28.18873389,433,11632,0.124369,204,53.727483,3,0,31,68,9556778,9550090,11182.49,10974.96,10341.21,10595.18,10981.7,10624.34,10981.56,10397.72,8
scale_free_graph_m_43_4_n_275433_3rd_time,71.08956151,9.085786353,22.30392762,275434,0.00016,5344,44.016135,17.44213393,171,4037,0.277743,119,47.216374,3,0,31,68,6061748,6057407,3906.34,3812.82,3953.68,3699.87,3803.06,3847.2,3805.94,3810.33,5
scale_free_graph_m_43_5_n_317140_3rd_time,71.11212984,9.052692508,22.31669194,317141,0.000139,4728,43.999886,72.44888503,107911,3162079,0.000543,3180,58.605314,3,0,30,66,6977062,6972167,29643.61,29201.93,28608.78,28901.37,25294.14,24737.88,26152.26,25285.21,6
scale_free_graph_m_44_1_n_349663_3rd_time,73.05526645,9.327440334,22.85132298,349664,0.000129,5643,44.992664,73.35759116,97550,2932507,0.000616,3481,60.123157,3,0,31,68,7866135,7860718,27081.96,25833.3,25212.46,24953.32,25537.86,24766.27,26525.93,25087.75,6
scale_free_graph_m_44_2_n_402371_3rd_time,73.74947298,9.307498164,22.84342101,402372,0.000112,5315,44.986701,73.41883896,101195,3035155,0.000593,3090,59.986264,3,0,31,68,9050672,9044617,13101.73,13004.43,13003.03,12613.14,13540.78,13226.64,13252.61,13812.46,6
scale_free_graph_m_44_3_n_201961_3rd_time,70.49393588,9.315901421,22.83518682,201962,0.000223,3695,45.014641,69.2412019,50709,1524674,0.001186,2127,60.134256,3,0,31,68,4545601,4542478,14574.3,14988.5,14386.5,14184.95,14967.94,14394.82,14976.8,14862.89,6
scale_free_graph_m_44_4_n_211853_3rd_time,69.94460938,9.34364966,22.84467605,211854,0.000212,4132,44.963498,69.42074977,60617,1821517,0.000991,2549,60.099213,3,0,31,68,4762826,4759645,1867.06,1861.37,1949.58,1896.75,1851.8,1954.4,2005.39,1863.57,5
scale_free_graph_m_44_5_n_287699_3rd_time,72.50443778,9.31361822,22.83127216,287700,0.000156,4649,44.96505,72.35105219,76259,2292493,0.000788,2805,60.123867,3,0,31,68,6468200,6463888,23139.64,23075.78,22605.46,22565.57,22852.47,22342.18,22572.84,22118.43,8
scale_free_graph_m_45_1_n_279611_3rd_time,73.55611036,9.417261202,23.14062344,279612,0.000164,4582,45.888431,75.34272796,105231,3225746,0.000583,3168,61.307904,3,0,31,68,6415455,6411250,13209.97,13257.12,12633.29,12717.29,9792.17,9233.53,9748.14,8980.74,8
scale_free_graph_m_45_2_n_496705_3rd_time,75.66824089,9.387851836,23.22517546,496706,9.3e-05,5932,46.042307,78.14948815,190953,5850065,0.000321,4236,61.272303,3,0,31,68,11434722,11427449,77021.59,76611.32,78262.82,76088.81,58183.36,57558.91,58258.69,57463.76,8
scale_free_graph_m_45_5_n_365395_3rd_time,75.16057946,9.38451881,23.21582338,365396,0.000126,5896,46.029064,50.26783682,3396,103451,0.017946,641,60.925206,3,0,32,71,8409395,8404125,29536.43,29285.64,29759.65,29685.02,29510.89,29751.05,28914.89,28675.31,8
scale_free_graph_m_38_1_n_366445_3rd_time,64.57384925,8.078241382,19.85387206,366446,0.000107,4904,39.028755,64.72522521,94649,2465867,0.000551,2821,52.105506,3,0,27,60,7150946,7144573,2447.64,2499.51,2455.24,2425.27,2479.75,2483.42,2473.93,2469.92,8
scale_free_graph_m_38_2_n_303099_3rd_time,63.97852055,8.0791838,19.84844606,303100,0.000129,4537,38.985361,64.04393994,80758,2102185,0.000645,2699,52.061344,3,0,27,60,5908212,5902965,1364.74,1365.68,1376.85,1361.06,1358.06,1406.75,1391.45,1371.26,5
scale_free_graph_m_38_3_n_221832_3rd_time,61.86098568,8.096230246,19.86992918,221833,0.000176,3708,39.017383,61.5886368,61792,1609002,0.000843,2201,52.078004,3,0,27,60,4327652,4323775,877.93,921.14,889.93,909.29,889.65,885.98,915.39,916.43,6
scale_free_graph_m_38_4_n_440250_3rd_time,64.99792264,8.074972291,19.84184931,440251,8.9e-05,5075,38.990437,65.12161152,112369,2924619,0.000463,2938,52.05384,3,0,27,60,8582770,8575119,689.22,751.51,702.08,687.67,735.66,712.0,647.73,654.76,7
scale_free_graph_m_38_5_n_385252_3rd_time,64.29570251,8.075194785,19.83409084,385253,0.000101,4409,38.982977,64.3205202,100278,2613157,0.00052,2593,52.118251,3,0,27,60,7509135,7502365,751.08,721.08,701.81,708.26,755.32,678.56,716.99,707.19,6
scale_free_graph_m_39_1_n_378512_3rd_time,65.68865306,8.164057622,20.16999416,378513,0.000106,5983,39.936647,67.72174839,143052,3811108,0.000372,4212,53.282834,3,0,27,60,7558250,7551870,657.32,637.39,609.45,630.81,661.46,603.77,660.42,626.82,6
scale_free_graph_m_39_2_n_354877_3rd_time,65.81117193,8.168437766,20.18583006,354878,0.000113,4890,39.960713,67.78641607,134518,3582341,0.000396,3427,53.261883,3,0,27,60,7090569,7084424,13910.31,13871.74,13227.67,13376.64,13881.33,13307.34,13461.97,13476.99,6
scale_free_graph_m_39_3_n_423427_3rd_time,66.75721143,8.169962078,20.1921838,423428,9.4e-05,5773,39.983232,29.1178275,521,13203,0.097468,234,50.683301,3,0,28,62,8464990,8457680,1374.58,1345.91,1374.05,1351.03,1382.88,1346.94,1474.59,1343.08,8
scale_free_graph_m_39_4_n_444988_3rd_time,66.76318575,8.160660116,20.2017106,444989,9e-05,5628,40.001128,34.87347332,978,25198,0.052743,282,51.529652,3,0,28,62,8900011,8892530,3906.1,3997.93,4079.1,4036.0,4017.13,3933.45,3984.82,3943.67,6
scale_free_graph_m_39_5_n_481123_3rd_time,66.63426579,8.151397363,20.20141169,481124,8.3e-05,5976,39.990535,68.82706478,182615,4863284,0.000292,4274,53.2627,3,0,27,60,9620183,9611952,4437.13,4402.09,4360.21,4372.93,4340.22,4290.24,4248.92,4326.26,7
scale_free_graph_m_40_1_n_452586_3rd_time,68.58237339,8.457697068,20.8010261,452587,9.1e-05,5885,41.020518,70.35930905,156084,4272689,0.000351,3973,54.748584,3,0,28,62,9282656,9275159,22336.84,22244.46,22849.03,21854.35,22224.0,21529.58,22127.32,21434.53,8
scale_free_graph_m_40_2_n_419255_3rd_time,68.01604778,8.463116262,20.79059811,419256,9.8e-05,5239,40.98417,69.8117008,145403,3977495,0.000376,3550,54.709944,3,0,28,62,8591409,8584377,3351.96,3364.0,3466.09,3461.83,2962.88,2915.75,2871.29,2848.54,8
small_world_graph_m_25_2nd_time,2.084374789,0.04989443511,17.99927,200001,0.00012,36,24.0,2.078522524,199892,2398184,0.00012,36,23.994797,3,0,18,40,2400000,2400000,74.77,71.61,76.69,69.44,70.32,76.23,72.84,74.85,5
small_world_graph_m_26_2nd_time,2.161843337,0.05517311627,19.999045,200001,0.00013,38,26.0,2.154616098,199847,2597112,0.00013,38,25.991003,3,0,20,44,2600000,2600000,135.74,134.31,137.71,143.26,132.77,142.19,135.29,144.43,5
small_world_graph_m_27_2nd_time,2.158308757,0.05915042276,19.99890001,200001,0.00013,36,26.0,2.150186996,199840,2597001,0.00013,36,25.990803,3,0,20,44,2600000,2600000,145.7,140.63,146.41,120.22,142.14,145.43,140.87,144.72,7
small_world_graph_m_28_2nd_time,2.242185283,0.06831681914,21.99833001,200001,0.00014,40,28.0,2.231036886,199746,2794725,0.00014,40,27.982788,3,0,22,48,2800000,2800000,294.2,287.45,290.28,297.43,291.38,269.67,299.98,297.73,6
