grh_name(synthetic),std_degree,std_core,avg_core,nodes,density,max_degree,avg_degree,mxc_std_degree,mxc_nodes,mxc_edges,mxc_density,mxc_max_degree,mxc_avg_degree,R,min_core,degeneracy,upper_bound,edge,sub_edge,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,best_label
small_world_graph_m_29_2nd_time,2.253591486,0.07089844345,21.99816001,200001,0.00014,39,28.0,2.241386123,199726,2794319,0.00014,39,27.981525,3,0,22,48,2800000,2800000,281.6,295.32,293.46,293.56,287.37,303.7,286.76,270.44,8
small_world_graph_m_30_2nd_time,2.326487248,0.07829063389,23.99764501,200001,0.00015,41,30.0,2.312457713,199638,2991765,0.00015,41,29.971899,3,0,24,53,3000000,3000000,589.91,593.14,593.2,575.53,584.2,591.95,610.19,593.44,5
small_world_graph_m_30,2.332493409,0.09335064709,23.99764002,100001,0.0003,41,30.0,2.31745692,99822,1495941,0.0003,41,29.97217,3,0,24,53,1500000,1500000,217.48,219.41,217.74,216.81,219.98,217.23,217.28,220.36,6
small_world_graph_m_31_2nd_time,2.328809323,0.08253926261,23.99731001,200001,0.00015,42,30.0,2.312956955,199596,2990818,0.00015,42,29.968717,3,0,24,53,3000000,3000000,575.45,573.59,586.86,617.34,597.92,586.28,605.15,592.14,6
small_world_graph_m_31,2.334815923,0.09650518398,23.99742003,100001,0.0003,43,30.0,2.318820844,99814,1495770,0.0003,43,29.971146,3,0,24,53,1500000,1500000,297.81,305.09,308.39,306.66,316.35,306.18,318.22,310.61,6
small_world_graph_m_32_2nd_time,2.396814814,0.06252557521,24.99927,200001,0.00016,44,32.0,2.39004209,199895,3197497,0.00016,44,31.991766,3,0,25,55,3200000,3200000,1052.23,1063.03,1043.53,1061.39,956.47,955.92,945.49,945.96,7
small_world_graph_m_32,2.403036028,0.08537622044,24.99909001,100001,0.00032,43,32.0,2.395036147,99948,1598766,0.00032,43,31.991956,3,0,25,55,1600000,1600000,643.75,644.85,619.14,623.14,647.44,608.79,619.84,616.99,6
small_world_graph_m_33_2nd_time,2.401666325,0.09207408742,25.99649002,200001,0.00016,44,32.0,2.382094683,199466,3186798,0.00016,44,31.953295,3,0,26,57,3200000,3200000,1225.74,1203.14,1240.35,1198.07,1237.64,1204.98,1211.41,1211.26,6
small_world_graph_m_33,2.389418926,0.08288165546,24.99925001,100001,0.00032,43,32.0,2.382675866,99955,1598925,0.00032,43,31.992897,3,0,25,55,1600000,1600000,644.73,623.89,634.85,631.4,640.62,636.56,631.74,638.05,7
small_world_graph_m_34_2nd_time,2.481279748,0.07140368418,26.99878001,200001,0.00017,47,34.0,2.471277454,199815,3395222,0.00017,47,33.983655,3,0,27,60,3400000,3400000,2424.67,2502.74,2497.99,2528.33,2426.49,2457.67,2625.31,2451.19,5
small_world_graph_m_34,2.478325738,0.09326426451,26.99870001,100001,0.00034,46,34.0,2.468076984,99913,1697754,0.00034,46,33.984647,3,0,27,60,1700000,1700000,1338.94,1308.38,1298.4,1311.05,1292.27,1324.6,1405.52,1321.25,5
small_world_graph_m_35_2nd_time,2.476489311,0.07254858143,26.99870501,200001,0.00017,47,34.0,2.466127256,199808,3395049,0.00017,47,33.983114,3,0,27,60,3400000,3400000,2429.62,2488.58,2412.72,2514.32,2448.44,2366.81,2427.51,2378.63,6
small_world_graph_m_35,2.479527859,0.09438149205,26.99857001,100001,0.00034,46,34.0,2.467941653,99903,1697497,0.00034,46,33.982903,3,0,27,60,1700000,1700000,1215.5,1198.07,1192.79,1224.16,1240.28,1216.67,1225.54,1235.95,6
small_world_graph_m_36_2nd_time,2.552938969,0.08075884955,28.99827501,200001,0.00018,49,36.0,2.540445153,199746,3592950,0.00018,49,35.975188,3,0,29,64,3600000,3600000,4966.35,4885.13,5019.35,4853.14,4890.39,4884.84,5225.89,4871.55,8
small_world_graph_m_36,2.559397266,0.09170342965,27.99937001,100001,0.00036,49,36.0,2.553173438,99974,1799307,0.00036,49,35.995499,3,0,28,62,1800000,1800000,2372.03,2375.26,2518.23,2365.77,2091.9,2175.71,2197.78,2160.56,5
small_world_graph_m_37_2nd_time,2.549264104,0.07725102053,28.99850001,200001,0.00018,50,36.0,2.537804263,199768,3593544,0.00018,50,35.977174,3,0,29,64,3600000,3600000,5021.44,4927.15,5009.22,5008.21,6858.94,4827.17,5066.66,4927.31,6
small_world_graph_m_37,2.552969779,0.1016223787,28.99833002,100001,0.00036,48,36.0,2.540264329,99887,1796861,0.00036,48,35.977875,3,0,29,64,1800000,1800000,2435.85,2401.77,2503.46,2448.95,2456.07,2458.63,2517.26,2363.8,8
small_world_graph_m_38_2nd_time,2.6134452,0.07081446676,29.999465,200001,0.00019,50,38.0,2.608179989,199934,3798098,0.00019,50,37.993518,3,0,30,66,3800000,3800000,5964.78,5973.93,7040.32,7484.15,6015.08,7119.23,5901.86,7228.9,7
small_world_graph_m_38,2.627460907,0.1144725474,30.99757002,100001,0.00038,50,38.0,2.610670562,99838,1895191,0.00038,50,37.965324,3,0,31,68,1900000,1900000,3390.99,3231.01,3205.43,3139.73,3304.92,3075.76,3248.24,3199.55,6
small_world_graph_m_39_2nd_time,2.618733601,0.08815132185,30.99792501,200001,0.00019,51,38.0,2.604512298,199698,3791026,0.00019,51,37.967591,3,0,31,68,3800000,3800000,6924.21,7181.62,7680.85,7812.99,6746.89,7613.52,7077.99,7619.41,5
small_world_graph_m_39,2.617649964,0.1108841625,30.99786002,100001,0.00038,50,38.0,2.602409008,99850,1895534,0.00038,50,37.967631,3,0,31,68,1900000,1900000,4584.67,4627.83,4667.13,4445.92,4450.89,4684.03,4687.19,4621.41,5
small_world_graph_m_40_2nd_time,2.676051971,0.100897359,32.99689002,200001,0.0002,53,40.0,2.658239048,199555,3985912,0.0002,53,39.948004,3,0,33,73,4000000,4000000,10413.24,10241.88,10838.92,10376.73,9942.93,10280.26,9680.26,10251.96,7
small_world_graph_m_40,2.684966992,0.1046381079,31.99913001,100001,0.0004,53,40.0,2.6768534,99953,1998551,0.0004,53,39.989815,3,0,32,71,2000000,2000000,5675.94,5501.84,5397.99,5542.71,5252.65,5156.71,5053.02,4905.69,8
small_world_graph_m_42_1_p_0.32_n_298510_3rd_time,3.363180064,0.08366829333,32.99790627,298511,0.000141,61,42.0,3.344452748,298077,6255015,0.000141,61,41.969122,3,0,33,73,6268710,6268710,525.96,528.95,542.19,536.47,527.89,510.04,541.37,522.43,6
small_world_graph_m_42_2_p_0.49_n_278148_3rd_time,3.947091928,0.1464794724,32.99111268,278149,0.000151,62,42.0,3.876501463,276556,5791050,0.000151,62,41.879764,3,0,33,73,5841108,5841108,55.11,61.34,61.13,63.04,58.61,52.76,54.34,55.46,6
small_world_graph_m_42_3_p_0.54_n_376880_3rd_time,4.064982883,0.2715344174,33.96123975,376881,0.000111,63,42.0,3.85778684,366455,7576409,0.000113,62,41.349737,3,0,34,75,7914480,7914480,63.54,59.16,71.6,70.91,73.21,68.14,69.68,69.04,6
small_world_graph_m_42_4_p_0.41_n_226396_3rd_time,3.705160174,0.1837046715,33.98518532,226397,0.000186,60,42.0,3.615391509,224195,4682910,0.000186,60,41.77533,3,0,34,75,4754316,4754316,120.99,119.55,116.57,118.4,110.99,117.23,115.9,112.9,5
small_world_graph_m_42_5_p_0.56_n_267079_3rd_time,4.109865136,0.2985707949,33.95436199,267080,0.000157,63,42.0,3.866647683,258424,5327876,0.00016,62,41.233601,3,0,34,75,5608659,5608659,35.28,38.58,37.79,38.37,37.49,35.31,37.27,30.52,8
small_world_graph_m_43_1_p_0.32_n_254069_3rd_time,3.367448515,0.08604195784,32.99795332,254070,0.000165,58,42.0,3.347508151,253703,5323860,0.000165,58,41.969232,3,0,33,73,5335449,5335449,441.53,445.66,437.34,431.46,422.75,441.27,441.69,434.19,5
small_world_graph_m_43_2_p_0.47_n_300101_3rd_time,3.886460827,0.1364405677,32.99219265,300102,0.00014,64,42.0,3.824319013,298557,6253521,0.00014,64,41.891639,3,0,33,73,6302121,6302121,71.94,70.73,70.49,73.3,72.87,73.95,58.94,69.99,7
small_world_graph_m_43_3_p_0.51_n_239872_3rd_time,3.991790357,0.2606783075,33.96470215,239873,0.000175,62,42.0,3.809276633,233762,4839880,0.000177,60,41.408612,3,0,34,75,5037312,5037312,41.23,35.2,38.49,42.17,38.51,38.21,39.84,40.09,6
small_world_graph_m_43_4_p_0.51_n_239424_3rd_time,3.994329275,0.1631430789,32.98947061,239425,0.000175,64,42.0,3.914953709,237865,4978997,0.000176,64,41.864057,3,0,33,73,5027904,5027904,47.46,45.71,45.37,45.98,47.08,44.85,45.74,42.58,8
small_world_graph_m_43_5_p_0.42_n_486968_3rd_time,3.736787777,0.1131849732,32.99453969,486969,8.6e-05,62,42.0,3.692153282,485215,10171141,8.6e-05,61,41.924265,3,0,33,73,10226328,10226328,227.1,242.05,208.96,199.71,234.23,203.46,231.2,199.04,8
small_world_graph_m_44_1_p_0.57_n_374973_3rd_time,4.235124977,0.199397321,34.98261746,374974,0.000117,66,44.0,4.111048902,370900,8113513,0.000118,65,43.750407,3,0,35,77,8249406,8249406,86.69,89.24,78.6,77.41,80.78,88.5,81.68,78.61,8
small_world_graph_m_44_2_p_0.5_n_457813_3rd_time,4.06766661,0.1694944758,34.98739444,457814,9.6e-05,66,44.0,3.975550721,454162,9949961,9.6e-05,65,43.816792,3,0,35,77,10071886,10071886,144.88,146.02,130.72,142.31,141.38,138.1,148.01,144.87,6
small_world_graph_m_44_3_p_0.52_n_326786_3rd_time,4.115925063,0.182009303,34.98585317,326787,0.000135,66,44.0,4.01383323,323905,7093183,0.000135,66,43.797922,3,0,35,77,7189292,7189292,70.92,67.67,68.49,67.96,67.29,65.19,61.86,72.37,7
small_world_graph_m_44_4_p_0.37_n_362625_3rd_time,3.64236845,0.1072184325,34.99550501,362626,0.000121,63,44.0,3.605842907,361533,7941147,0.000122,63,43.930413,3,0,35,77,7977750,7977750,269.95,285.89,272.11,271.24,279.84,280.67,270.49,286.81,7
small_world_graph_m_44_5_p_0.47_n_358543_3rd_time,3.978534289,0.1595808808,34.9892677,358544,0.000123,64,44.0,3.898576595,356107,7806582,0.000123,64,43.844024,3,0,35,77,7887946,7887946,113.41,110.82,109.83,116.85,110.67,108.2,106.78,114.64,7
small_world_graph_m_45_1_p_0.57_n_388970_3rd_time,4.231710779,0.2039733263,34.98187268,388971,0.000113,65,44.0,4.104155854,384577,8410829,0.000114,65,43.740676,3,0,35,77,8557340,8557340,71.1,62.95,67.07,64.62,63.29,61.35,70.1,59.5,8
small_world_graph_m_45_2_p_0.34_n_308281_3rd_time,3.532124278,0.1033370476,34.9963994,308282,0.000143,61,44.0,3.501702814,307548,6757608,0.000143,60,43.945062,3,0,35,77,6782182,6782182,379.47,373.44,366.33,373.28,363.75,362.34,365.81,357.91,8
small_world_graph_m_45_3_p_0.53_n_342924_3rd_time,4.139458538,0.1866603907,34.98503754,342925,0.000128,65,44.0,4.030875996,339712,7437148,0.000129,65,43.785018,3,0,35,77,7544328,7544328,60.6,63.45,60.03,56.56,65.47,54.84,61.12,65.85,6
small_world_graph_m_45_4_p_0.48_n_253420_3rd_time,4.004881183,0.1646364393,34.98876573,253421,0.000174,64,44.0,3.920863729,251574,5513512,0.000174,64,43.832129,3,0,35,77,5575240,5575240,62.31,64.5,63.27,56.06,61.71,64.94,59.95,68.26,7
small_world_graph_m_45_5_p_0.59_n_371202_3rd_time,4.285893966,0.2134495003,34.98039078,371203,0.000119,68,44.0,4.149432944,366714,8016833,0.000119,67,43.722536,3,0,35,77,8166444,8166444,51.59,56.38,51.56,48.03,40.18,41.52,39.07,40.3,7
scale_free_graph_m_42_1_n_338493_4th_time,70.11197112,8.794240677,21.72999817,338494,0.000127,5020,43.05689,46.43444174,2926,83221,0.019447,558,56.8838,3,0,30,66,7287228,7281874,5138.89,4918.9,4905.13,4785.14,4900.1,4939.65,4790.24,4774.37,8
scale_free_graph_m_42_2_n_354656_4th_time,69.68360201,8.764077216,21.74482105,354657,0.000121,4981,43.088305,48.45102482,4414,126752,0.013014,612,57.431808,3,0,30,66,7640763,7635278,920.18,956.54,957.12,845.76,928.0,934.73,955.3,946.1,5
scale_free_graph_m_42_3_n_368016_4th_time,69.91545507,8.787960417,21.69607111,368017,0.000117,5463,42.993462,71.90828388,140807,4033843,0.000407,3926,57.296058,3,0,29,64,7911141,7905205,3199.32,3251.42,3196.06,3223.93,3185.7,3219.06,3240.03,3147.19,8
scale_free_graph_m_42_4_n_340713_4th_time,69.90161076,8.777247745,21.6971683,340714,0.000126,4700,43.008955,71.9434942,129628,3715780,0.000442,3333,57.329898,3,0,29,64,7326855,7321505,8192.02,8098.25,8261.4,8340.07,8045.7,8116.65,8338.91,8344.03,5
scale_free_graph_m_42_5_n_404271_4th_time,70.57364052,8.763106684,21.69572466,404272,0.000106,5424,42.99747,29.48976276,473,12503,0.112006,207,52.866808,3,0,30,66,8691315,8684987,5420.99,5824.33,5633.18,5587.12,5690.36,5638.4,5693.91,5485.19,8
scale_free_graph_m_43_1_n_369814_4th_time,72.43817427,9.054791098,22.29574787,369815,0.000119,5213,44.038993,24.38006896,285,7346,0.181517,155,51.550877,3,0,31,68,8143118,8137350,10965.52,10979.13,10791.24,11041.67,10865.52,10466.41,10661.41,10663.48,6
scale_free_graph_m_43_2_n_384689_4th_time,72.19370799,9.071776433,22.30613221,384690,0.000114,5545,44.020843,73.8924153,134381,3946803,0.000437,3659,58.740492,3,0,30,66,8467167,8461170,12016.94,12007.46,11570.54,11579.26,11821.79,11413.81,11613.06,12680.89,6
scale_free_graph_m_43_3_n_380241_4th_time,72.55106851,9.062883009,22.32472741,380242,0.000116,5759,44.044503,31.22198693,565,15575,0.097753,239,55.132743,3,0,31,68,8373763,8367797,14473.87,14471.8,14004.95,13838.89,13434.2,13443.6,13091.82,12472.04,8
scale_free_graph_m_43_4_n_408146_4th_time,72.4909772,9.064939252,22.29318848,408147,0.000108,5322,44.003616,37.46759858,1016,28810,0.055874,316,56.712598,3,0,31,68,8979950,8973720,30577.1,31607.4,30019.8,30115.97,30753.62,31041.2,31740.78,29782.45,8
scale_free_graph_m_43_5_n_346300_4th_time,72.29411146,9.057629476,22.3096959,346301,0.000127,5263,44.02171,39.94467039,1217,34968,0.047258,356,57.4659,3,0,31,68,7622359,7617039,35093.06,35571.88,33565.88,33586.02,34886.53,33523.4,34855.92,34096.68,6
scale_free_graph_m_44_1_n_398394_4th_time,73.79735907,9.268794403,22.80667679,398395,0.000113,5361,44.965075,72.70272521,87446,2623174,0.000686,2937,59.995289,3,0,31,68,8956908,8950923,10076.71,10032.58,10144.43,9674.74,10252.66,10386.91,10142.1,10647.09,7
scale_free_graph_m_44_2_n_395061_4th_time,73.69245956,9.31035037,22.88357271,395062,0.000114,5567,45.064874,74.0312852,108390,3258848,0.000555,3309,60.131894,3,0,31,68,8901687,8895739,20042.28,19557.16,18924.83,19368.62,19554.22,19798.07,19303.89,19113.31,8
scale_free_graph_m_44_3_n_341244_4th_time,72.85731425,9.350984122,22.91209835,341245,0.000132,4812,45.099079,73.31973738,101948,3067161,0.00059,3025,60.171087,3,0,31,68,7694895,7689688,28749.88,27826.56,27123.03,26942.62,28607.59,27399.98,27311.2,27573.93,7
scale_free_graph_m_44_5_n_406370_4th_time,73.72064148,9.333300484,22.87598525,406371,0.000111,5949,45.032301,74.16092519,113937,3422990,0.000527,3657,60.085661,3,0,31,68,9149888,9143734,27236.65,27091.97,26588.13,27034.76,26071.59,26147.24,26277.08,25891.82,8
small_world_graph_m_48_1_p_0.27_n_314028_4th_time,3.34565665,0.09355078362,38.99767537,314029,0.000153,65,48.0,3.326335589,313534,7518106,0.000153,65,47.957198,3,0,39,86,7536672,7536672,13275.31,12880.89,13101.71,12605.38,10486.35,11510.62,11956.18,11773.94,5
small_world_graph_m_48_2_p_0.24_n_338121_4th_time,3.183557757,0.08067093054,38.99870165,338122,0.000142,63,48.0,3.171927993,337829,8103917,0.000142,63,47.976444,3,0,39,86,8114904,8114904,33369.66,43984.14,34848.8,34657.07,33640.05,35429.19,33169.51,34961.2,7
small_world_graph_m_48_3_p_0.26_n_297516_4th_time,3.292856369,0.09222998978,38.99798331,297517,0.000161,64,48.0,3.275781639,297120,7125505,0.000161,64,47.963819,3,0,39,86,7140384,7140384,19013.67,18672.24,19356.51,19002.5,19239.21,19054.55,19102.69,19092.09,6
small_world_graph_m_48_4_p_0.25_n_344141_4th_time,3.246308961,0.08295380231,38.99843379,344142,0.000139,67,48.0,3.232220879,343771,8245462,0.00014,66,47.970667,3,0,39,86,8259384,8259384,35159.36,34115.12,34383.54,34196.18,34329.32,34394.53,34181.56,34682.43,7
small_world_graph_m_48_5_p_0.24_n_326653_4th_time,3.183972492,0.08274238058,38.99861321,326654,0.000147,64,48.0,3.171766189,326349,7828235,0.000147,64,47.974622,3,0,39,86,7839672,7839672,31152.82,31251.48,32566.3,32715.73,31777.21,32285.9,31381.32,31880.77,7
small_world_graph_m_49_2_p_0.3_n_399503_4th_time,3.494019622,0.1008726026,38.99648564,399504,0.00012,67,48.0,3.466404748,398555,9552489,0.00012,67,47.935612,3,0,39,86,9588072,9588072,4663.6,4837.74,4535.35,4750.7,4744.45,4472.28,4787.43,4571.65,6
small_world_graph_m_49_4_p_0.28_n_349826_4th_time,3.40177179,0.09712564795,38.99709857,349827,0.000137,65,48.0,3.378048109,349149,8370404,0.000137,65,47.947461,3,0,39,86,8395824,8395824,9384.21,9207.22,9104.67,9358.3,9240.13,9111.66,9279.83,9059.23,8
small_world_graph_m_49_5_p_0.29_n_313686_4th_time,3.453457118,0.1042241379,38.99664953,313687,0.000153,65,48.0,3.424948497,312978,7501876,0.000153,65,47.938679,3,0,39,86,7528464,7528464,5351.9,5418.98,5518.0,5382.77,5363.81,5289.68,5515.12,5417.82,6
small_world_graph_m_50_3_p_0.29_n_283249_4th_time,3.523093397,0.1167679249,40.99581642,283250,0.000177,68,50.0,3.491499223,282479,7050811,0.000177,68,49.920957,3,0,41,91,7081225,7081225,7496.4,7643.12,7428.53,7533.73,7702.7,7727.47,7784.49,7654.47,8
small_world_graph_m_50_4_p_0.25_n_410783_4th_time,3.308438771,0.08443253225,40.9980379,410784,0.000122,67,50.0,3.290546853,410214,10247021,0.000122,67,49.959392,3,0,41,91,10269575,10269575,47308.35,47154.34,41657.13,42159.61,41555.13,38079.8,39894.39,36044.48,8
small_world_graph_m_50_5_p_0.28_n_427316_4th_time,3.471052157,0.1003728371,40.99661141,427317,0.000117,67,50.0,3.443817509,426343,10644436,0.000117,67,49.933673,3,0,41,91,10682900,10682900,13846.95,14103.24,14182.91,13838.93,13774.1,13860.21,13966.65,13754.02,8
scale_free_graph_m_42_1_n_309635_5th_time,70.30241085,8.775090945,21.7107087,309636,0.000139,4970,43.005603,25.16092189,307,7894,0.168061,169,51.42671,3,0,30,66,6658020,6653085,8986.92,8996.6,7968.25,8031.43,9000.78,8019.04,9010.32,8192.67,6
scale_free_graph_m_43_1_n_393417_5th_time,72.33898224,9.071020819,22.28828371,393418,0.000112,5791,43.987606,74.13040399,136683,4014927,0.00043,3914,58.748008,3,0,30,66,8652736,8646650,3289.59,3268.09,3390.07,3385.84,3462.43,3467.12,3419.93,3385.12,8
scale_free_graph_m_44_1_n_343785_5th_time,73.24950281,9.315786298,22.85827811,343786,0.000131,5325,45.011842,73.28269848,92434,2777093,0.00065,3247,60.088128,3,0,31,68,7737198,7731973,32017.09,31863.5,30964.75,30859.66,31981.64,30892.89,31584.63,30324.68,8
